click_id,ad_id,user_id,click_time
1,41,9851,2025-10-07 15:00:27.670626
2,137,35922,2025-11-12 15:01:27.670656
3,293,31438,2025-10-11 14:54:27.670695
4,44,25334,2026-02-16 14:56:27.670720
5,78,2365,2025-11-15 14:56:27.670731
6,96,46378,2025-09-07 15:02:27.670735
7,296,39372,2026-02-26 14:59:27.670757
8,296,46353,2025-11-25 15:00:27.670764
9,217,14666,2025-09-16 14:56:27.670768
10,300,409,2025-11-12 14:55:27.670815
11,203,44259,2026-01-26 14:57:27.670827
12,218,25863,2026-01-25 15:01:27.670833
13,139,26769,2026-02-06 15:00:27.670841
14,117,13128,2025-12-08 14:59:27.670842
15,34,36404,2026-01-15 14:54:27.670854
16,155,31819,2026-02-06 14:58:27.670858
17,240,18101,2025-12-07 14:58:27.670875
18,156,33016,2025-12-21 14:58:27.670890
19,264,28105,2026-01-07 15:00:27.670912
20,165,30257,2025-11-04 14:56:27.670924
21,40,18208,2026-01-15 15:02:27.670929
22,227,21997,2025-10-26 14:56:27.670952
23,171,42352,2026-02-08 14:54:27.670965
24,189,36682,2026-01-18 14:58:27.670971
25,280,8803,2026-01-26 15:02:27.670975
26,250,3850,2025-10-29 15:00:27.671000
27,227,43008,2025-11-29 14:55:27.671055
28,67,21269,2026-02-02 14:59:27.671059
29,19,46189,2026-02-05 14:59:27.671066
30,128,42705,2026-02-09 14:54:27.671069
31,175,1442,2025-10-24 14:56:27.671072
32,142,1276,2025-10-09 14:56:27.671073
33,193,28870,2025-11-30 14:57:27.671078
34,155,16202,2025-11-30 15:00:27.671095
35,202,35277,2026-02-02 14:57:27.671098
36,160,49356,2025-09-08 15:02:27.671130
37,66,48063,2025-11-25 14:58:27.671131
38,189,20310,2025-10-11 14:59:27.671220
39,142,6153,2026-02-01 15:01:27.671235
40,12,41515,2025-10-14 14:58:27.671245
41,89,11295,2025-10-19 14:56:27.671290
42,207,40283,2025-11-22 14:58:27.671327
43,72,24450,2025-12-17 14:59:27.671333
44,23,19989,2026-01-30 14:57:27.671339
45,220,47155,2025-10-09 15:00:27.671365
46,88,1287,2025-10-15 14:55:27.671368
47,264,12980,2025-09-16 14:58:27.671382
48,223,40902,2026-02-07 14:54:27.671385
49,2,16401,2025-11-23 15:02:27.671408
50,213,1037,2025-11-28 15:02:27.671444
51,261,23206,2025-12-05 14:59:27.671447
52,282,31041,2025-09-08 14:55:27.671469
53,98,3188,2026-01-28 15:02:27.671524
54,18,37498,2025-09-12 14:56:27.671549
55,134,8559,2025-11-16 14:58:27.671552
56,137,14482,2026-02-09 15:01:27.671555
57,182,41980,2026-01-10 14:57:27.671561
58,13,26465,2025-11-23 15:02:27.671573
59,39,45098,2025-08-31 14:54:27.671580
60,161,1960,2025-12-11 14:58:27.671582
61,221,42418,2025-12-24 15:02:27.671671
62,174,6257,2026-02-16 15:01:27.671690
63,11,28778,2025-09-16 14:56:27.671711
64,249,28830,2026-02-19 14:55:27.671723
65,31,17028,2026-01-09 15:02:27.671725
66,216,39456,2025-12-08 15:01:27.671755
67,275,27961,2026-01-29 15:00:27.671756
68,108,30328,2025-09-29 15:01:27.671768
69,74,2781,2026-01-06 15:00:27.671773
70,293,30663,2026-01-25 15:01:27.671796
71,222,19128,2025-12-06 14:58:27.671819
72,179,30697,2025-10-16 15:02:27.671825
73,241,33366,2026-01-14 14:57:27.671837
74,83,39111,2025-09-01 14:54:27.671878
75,224,4098,2025-09-06 15:01:27.671881
76,125,18691,2025-10-17 15:02:27.671884
77,49,27595,2025-09-15 14:55:27.671892
78,246,15166,2026-02-02 15:00:27.671893
79,92,16820,2025-10-16 15:01:27.671895
80,84,4804,2025-10-05 14:54:27.671898
81,209,48018,2025-12-26 14:58:27.671904
82,52,15142,2025-12-15 15:01:27.671933
83,239,16705,2026-01-31 14:55:27.671968
84,146,26202,2025-12-22 14:55:27.671971
85,297,14811,2025-12-29 15:00:27.671995
86,230,42225,2025-09-27 15:02:27.672006
87,239,2575,2025-12-16 15:02:27.672013
88,80,48221,2026-01-07 15:01:27.672021
89,270,27752,2025-10-14 14:57:27.672035
90,186,29965,2025-10-11 14:55:27.672045
91,150,40027,2025-10-27 14:57:27.672049
92,200,14159,2025-11-05 14:57:27.672082
93,150,30662,2026-02-10 15:01:27.672122
94,103,14716,2025-09-16 14:57:27.672136
95,196,32210,2025-09-13 15:02:27.672150
96,54,19680,2026-02-17 14:59:27.672174
97,131,22062,2026-01-30 14:59:27.672174
98,278,1129,2026-01-03 14:55:27.672175
99,31,19808,2025-11-05 15:02:27.672198
100,80,49208,2025-11-30 15:02:27.672241
101,240,30647,2026-02-13 14:58:27.672255
102,267,130,2025-11-23 15:00:27.672266
103,11,1431,2025-12-23 14:58:27.672276
104,292,3470,2026-02-15 14:56:27.672302
105,232,16207,2026-01-21 14:59:27.672310
106,48,2782,2025-12-02 15:00:27.672313
107,155,38006,2025-10-26 14:58:27.672317
108,17,34340,2026-02-24 14:54:27.672339
109,194,1527,2026-01-11 14:55:27.672376
110,197,35544,2025-12-11 14:55:27.672391
111,222,34,2025-09-26 15:02:27.672434
112,62,32945,2026-02-10 14:54:27.672436
113,159,26626,2025-10-14 14:59:27.672458
114,100,33304,2025-10-19 14:57:27.672472
115,90,9697,2026-01-27 14:56:27.672501
116,169,33228,2025-11-26 15:00:27.672512
117,207,42831,2025-09-20 14:59:27.672531
118,52,33027,2025-11-21 14:55:27.672544
119,228,6861,2026-01-05 14:59:27.672555
120,15,23526,2025-12-23 14:57:27.672558
121,261,48645,2026-02-27 14:55:27.672576
122,170,41157,2026-02-02 15:01:27.672582
123,120,32764,2025-09-14 14:58:27.672586
124,120,44811,2025-09-01 14:55:27.672608
125,272,1456,2026-02-19 14:54:27.672615
126,105,47800,2026-02-08 14:57:27.672616
127,260,3020,2025-10-30 15:00:27.672625
128,177,6627,2025-12-28 14:56:27.672640
129,206,49230,2025-10-10 14:54:27.672642
130,101,47475,2025-12-15 14:58:27.672648
131,248,15077,2026-02-20 14:57:27.672661
132,5,25349,2025-09-27 14:56:27.672671
133,37,14741,2026-01-04 14:58:27.672675
134,202,38021,2026-01-13 15:00:27.672680
135,66,23148,2026-01-29 15:02:27.672681
136,1,18524,2025-10-11 15:02:27.672685
137,55,23727,2025-11-11 15:01:27.672687
138,185,15180,2025-12-26 15:02:27.672697
139,240,31000,2025-09-29 14:58:27.672703
140,285,40646,2026-02-08 15:02:27.672726
141,227,20165,2026-02-07 14:58:27.672746
142,134,48934,2025-09-10 14:59:27.672747
143,1,12380,2026-02-11 14:55:27.672756
144,198,35795,2026-01-04 14:55:27.672775
145,213,12050,2026-01-27 14:58:27.672785
146,105,2142,2025-11-27 15:00:27.672804
147,125,7789,2025-11-03 14:54:27.672827
148,128,24555,2026-01-26 14:54:27.672827
149,254,44408,2025-10-14 14:57:27.672829
150,237,16146,2025-09-21 14:56:27.672831
