subscription_id,user_id,plan_type,monthly_fee,start_date
1,38763,Premium,9.99,2025-09-22 14:53:28.723288
2,30063,Premium,9.99,2026-01-17 14:53:28.723310
3,20109,Premium,9.99,2025-09-15 14:53:28.723312
4,9498,Premium,9.99,2025-10-23 14:53:28.723315
5,33161,Premium,9.99,2025-09-21 14:53:28.723316
6,19776,Premium,9.99,2025-09-02 14:53:28.723317
7,49688,Premium,9.99,2026-01-01 14:53:28.723318
8,41364,Premium,9.99,2025-09-19 14:53:28.723320
9,27886,Premium,9.99,2025-12-04 14:53:28.723323
10,37626,Premium,9.99,2025-09-10 14:53:28.723324
11,44839,Premium,9.99,2025-10-29 14:53:28.723326
12,14031,Premium,9.99,2025-09-06 14:53:28.723327
13,2689,Premium,9.99,2025-10-15 14:53:28.723328
14,5212,Premium,9.99,2025-11-14 14:53:28.723329
15,25041,Premium,9.99,2026-01-26 14:53:28.723330
16,23433,Premium,9.99,2026-01-13 14:53:28.723332
17,10356,Premium,9.99,2025-12-07 14:53:28.723333
18,35164,Premium,9.99,2025-10-09 14:53:28.723334
19,18474,Premium,9.99,2026-02-15 14:53:28.723335
20,35190,Premium,9.99,2025-10-13 14:53:28.723336
21,12366,Premium,9.99,2025-09-07 14:53:28.723337
22,38005,Premium,9.99,2025-12-30 14:53:28.723339
23,26620,Premium,9.99,2025-12-26 14:53:28.723340
24,35729,Premium,9.99,2025-12-06 14:53:28.723341
25,28516,Premium,9.99,2026-02-20 14:53:28.723341
26,33879,Premium,9.99,2026-02-01 14:53:28.723343
27,1356,Premium,9.99,2025-09-10 14:53:28.723344
28,24239,Premium,9.99,2025-12-14 14:53:28.723345
29,13896,Premium,9.99,2025-12-27 14:53:28.723346
30,4152,Premium,9.99,2026-01-18 14:53:28.723347
31,32958,Premium,9.99,2025-09-13 14:53:28.723348
32,32738,Premium,9.99,2025-10-21 14:53:28.723350
33,19529,Premium,9.99,2025-09-28 14:53:28.723351
34,45223,Premium,9.99,2026-01-13 14:53:28.723353
35,4035,Premium,9.99,2026-01-01 14:53:28.723354
36,48235,Premium,9.99,2025-10-04 14:53:28.723355
37,6103,Premium,9.99,2026-02-02 14:53:28.723356
38,33334,Premium,9.99,2025-09-27 14:53:28.723357
39,11864,Premium,9.99,2026-01-08 14:53:28.723358
40,10933,Premium,9.99,2025-12-16 14:53:28.723359
41,49687,Premium,9.99,2025-09-15 14:53:28.723360
42,2131,Premium,9.99,2026-01-08 14:53:28.723362
43,26935,Premium,9.99,2025-10-14 14:53:28.723363
44,31870,Premium,9.99,2026-02-05 14:53:28.723364
45,18419,Premium,9.99,2025-09-22 14:53:28.723365
46,42662,Premium,9.99,2026-01-09 14:53:28.723366
47,5155,Premium,9.99,2026-01-10 14:53:28.723368
48,9099,Premium,9.99,2025-12-21 14:53:28.723369
49,11440,Premium,9.99,2025-09-28 14:53:28.723370
50,34284,Premium,9.99,2025-11-25 14:53:28.723371
51,37457,Premium,9.99,2025-10-07 14:53:28.723372
52,49928,Premium,9.99,2026-01-20 14:53:28.723374
53,22578,Premium,9.99,2025-09-15 14:53:28.723375
54,35090,Premium,9.99,2025-10-14 14:53:28.723377
55,47525,Premium,9.99,2025-10-10 14:53:28.723378
56,13573,Premium,9.99,2025-10-29 14:53:28.723379
57,35480,Premium,9.99,2026-02-02 14:53:28.723380
58,38249,Premium,9.99,2025-10-29 14:53:28.723381
59,16908,Premium,9.99,2026-02-26 14:53:28.723382
60,34266,Premium,9.99,2025-09-08 14:53:28.723383
61,9352,Premium,9.99,2025-09-25 14:53:28.723385
62,41868,Premium,9.99,2025-12-22 14:53:28.723386
63,34650,Premium,9.99,2026-01-24 14:53:28.723387
64,16097,Premium,9.99,2025-11-16 14:53:28.723388
65,15020,Premium,9.99,2026-02-16 14:53:28.723389
66,23505,Premium,9.99,2025-10-23 14:53:28.723390
67,41505,Premium,9.99,2025-09-19 14:53:28.723391
68,18055,Premium,9.99,2026-02-17 14:53:28.723392
69,29216,Premium,9.99,2026-01-22 14:53:28.723394
70,45252,Premium,9.99,2026-02-03 14:53:28.723395
71,38780,Premium,9.99,2025-10-03 14:53:28.723396
72,30469,Premium,9.99,2025-11-15 14:53:28.723397
73,33892,Premium,9.99,2025-10-08 14:53:28.723398
74,17532,Premium,9.99,2025-11-20 14:53:28.723399
75,43175,Premium,9.99,2026-01-19 14:53:28.723400
76,40046,Premium,9.99,2025-12-27 14:53:28.723402
77,49938,Premium,9.99,2026-01-25 14:53:28.723403
78,11775,Premium,9.99,2026-02-27 14:53:28.723404
79,9800,Premium,9.99,2025-09-01 14:53:28.723406
80,34918,Premium,9.99,2026-01-30 14:53:28.723407
81,28136,Premium,9.99,2025-10-03 14:53:28.723408
82,21546,Premium,9.99,2025-11-03 14:53:28.723409
83,4275,Premium,9.99,2025-11-04 14:53:28.723410
84,33455,Premium,9.99,2025-11-25 14:53:28.723412
85,49683,Premium,9.99,2025-11-03 14:53:28.723413
86,21798,Premium,9.99,2025-09-29 14:53:28.723413
87,10351,Premium,9.99,2025-10-18 14:53:28.723415
88,29878,Premium,9.99,2025-08-31 14:53:28.723416
89,42008,Premium,9.99,2026-01-26 14:53:28.723417
90,24981,Premium,9.99,2026-01-09 14:53:28.723418
91,33508,Premium,9.99,2025-12-23 14:53:28.723419
92,9093,Premium,9.99,2025-12-25 14:53:28.723420
93,36298,Premium,9.99,2025-11-29 14:53:28.723421
94,9615,Premium,9.99,2025-10-04 14:53:28.723423
95,337,Premium,9.99,2025-11-08 14:53:28.723423
96,28394,Premium,9.99,2026-02-10 14:53:28.723425
97,5092,Premium,9.99,2025-11-03 14:53:28.723426
98,28531,Premium,9.99,2025-11-23 14:53:28.723427
99,32787,Premium,9.99,2025-11-17 14:53:28.723428
100,30441,Premium,9.99,2026-01-18 14:53:28.723429
101,5319,Premium,9.99,2026-02-10 14:53:28.723430
102,25862,Premium,9.99,2026-02-21 14:53:28.723431
103,37205,Premium,9.99,2025-12-21 14:53:28.723433
104,14377,Premium,9.99,2025-12-21 14:53:28.723434
105,6942,Premium,9.99,2026-01-02 14:53:28.723435
106,8686,Premium,9.99,2025-10-19 14:53:28.723436
107,26749,Premium,9.99,2025-11-29 14:53:28.723437
108,33590,Premium,9.99,2025-12-28 14:53:28.723438
109,12857,Premium,9.99,2025-09-09 14:53:28.723439
110,8363,Premium,9.99,2026-02-23 14:53:28.723440
111,41579,Premium,9.99,2025-10-23 14:53:28.723441
112,18770,Premium,9.99,2026-02-05 14:53:28.723442
113,19630,Premium,9.99,2025-09-01 14:53:28.723444
114,14113,Premium,9.99,2026-01-13 14:53:28.723445
